num_inserts,height
0,3
10000,4
20000,4
30000,4
40000,4
50000,4
60000,4
70000,4
80000,5
90000,5
100000,5
110000,5
120000,5
130000,5
140000,5
150000,5
160000,5
170000,5
180000,5
190000,5
200000,5
210000,5
220000,5
230000,5
240000,5
250000,5
260000,5
270000,5
280000,5
290000,5
300000,5
310000,5
320000,5
330000,5
340000,5
350000,5
360000,5
370000,5
380000,5
390000,5
400000,5
410000,5
420000,5
430000,5
440000,5
450000,5
460000,5
470000,5
480000,5
490000,5
500000,5
510000,5
520000,5
530000,5
540000,5
550000,5
560000,5
570000,5
580000,5
590000,5
600000,5
610000,5
620000,5
630000,5
640000,6
650000,6
660000,6
670000,6
680000,6
690000,6
700000,6
710000,6
720000,6
730000,6
740000,6
750000,6
760000,6
770000,6
780000,6
790000,6
800000,6
810000,6
820000,6
830000,6
840000,6
850000,6
860000,6
870000,6
880000,6
890000,6
900000,6
910000,6
920000,6
930000,6
940000,6
950000,6
960000,6
970000,6
980000,6
990000,6
